1000      
1    "Time taken nanoseconds (n^2)" "Array Length" !!!
Average_Insertion_Run-time 2170452  1000 1000000 1328957 
2      
Average_Insertion_Run-time 662585     
3      
Average_Insertion_Run-time 732721     
4      
Average_Insertion_Run-time 655522     
5      
Average_Insertion_Run-time 2423505     
2000      
1      
Average_Insertion_Run-time 390061  2000 4000000 393431.8 
2      
Average_Insertion_Run-time 396841     
3      
Average_Insertion_Run-time 386786     
4      
Average_Insertion_Run-time 396478     
5      
Average_Insertion_Run-time 396993     
3000      
1      
Average_Insertion_Run-time 872222  3000 9000000 863727.6 
2      
Average_Insertion_Run-time 850104     
3      
Average_Insertion_Run-time 866488     
4      
Average_Insertion_Run-time 862650     
5      
Average_Insertion_Run-time 867174     
4000      
1      
Average_Insertion_Run-time 1549978  4000 16000000 1538760.4 
2      
Average_Insertion_Run-time 1541562     
3      
Average_Insertion_Run-time 1525472     
4      
Average_Insertion_Run-time 1522555     
5      
Average_Insertion_Run-time 1554235     
5000      
1      
Average_Insertion_Run-time 2393083  5000 25000000 2696748 
2      
Average_Insertion_Run-time 2381080     
3      
Average_Insertion_Run-time 2915883     
4      
Average_Insertion_Run-time 2913193     
5      
Average_Insertion_Run-time 2880501     
6000      
1      
Average_Insertion_Run-time 3528593  6000 36000000 3436271.6 
2      
Average_Insertion_Run-time 3399449     
3      
Average_Insertion_Run-time 3450134     
4      
Average_Insertion_Run-time 3378017     
5      
Average_Insertion_Run-time 3425165     
7000      
1      
Average_Insertion_Run-time 4755479  7000 49000000 4667028.8 
2      
Average_Insertion_Run-time 4665585     
3      
Average_Insertion_Run-time 4594047     
4      
Average_Insertion_Run-time 4731031     
5      
Average_Insertion_Run-time 4589002     
8000      
1      
Average_Insertion_Run-time 6245322  8000 64000000 6153221.6 
2      
Average_Insertion_Run-time 6181503     
3      
Average_Insertion_Run-time 6124583     
4      
Average_Insertion_Run-time 6115536     
5      
Average_Insertion_Run-time 6099164     
9000      
1      
Average_Insertion_Run-time 7751664  9000 81000000 7674851 
2      
Average_Insertion_Run-time 7662837     
3      
Average_Insertion_Run-time 7683907     
4      
Average_Insertion_Run-time 7642542     
5      
Average_Insertion_Run-time 7633305     
10000      
1      
Average_Insertion_Run-time 9575966  10000 100000000 9467518.2 
2      
Average_Insertion_Run-time 9415590     
3      
Average_Insertion_Run-time 9428357     
4      
Average_Insertion_Run-time 9474617     
5      
Average_Insertion_Run-time 9443061     
11000      
1      
Average_Insertion_Run-time 11503919  11000 121000000 11486791.4 
2      
Average_Insertion_Run-time 11409829     
3      
Average_Insertion_Run-time 11427196     
4      
Average_Insertion_Run-time 11577672     
5      
Average_Insertion_Run-time 11515341     
12000      
1      
Average_Insertion_Run-time 13759729  12000 144000000 13664290.4 
2      
Average_Insertion_Run-time 13808753     
3      
Average_Insertion_Run-time 13577091     
4      
Average_Insertion_Run-time 13656810     
5      
Average_Insertion_Run-time 13519069     
13000      
1      
Average_Insertion_Run-time 15883986  13000 169000000 15981338.4 
2      
Average_Insertion_Run-time 15974555     
3      
Average_Insertion_Run-time 16095562     
4      
Average_Insertion_Run-time 15885466     
5      
Average_Insertion_Run-time 16067123     
14000      
1      
Average_Insertion_Run-time 18574626  14000 196000000 18631181.6 
2      
Average_Insertion_Run-time 18559142     
3      
Average_Insertion_Run-time 18857633     
4      
Average_Insertion_Run-time 18741408     
5      
Average_Insertion_Run-time 18423099     
15000      
1      
Average_Insertion_Run-time 21470529  15000 225000000 21425342.4 
2      
Average_Insertion_Run-time 21419775     
3      
Average_Insertion_Run-time 21277723     
4      
Average_Insertion_Run-time 21323638     
5      
Average_Insertion_Run-time 21635047     
16000      
1      
Average_Insertion_Run-time 24400548  16000 256000000 24297948.2 
2      
Average_Insertion_Run-time 24217225     
3      
Average_Insertion_Run-time 24227696     
4      
Average_Insertion_Run-time 24219190     
5      
Average_Insertion_Run-time 24425082     
17000      
1      
Average_Insertion_Run-time 27218171  17000 289000000 27348503.6 
2      
Average_Insertion_Run-time 27616497     
3      
Average_Insertion_Run-time 27317100     
4      
Average_Insertion_Run-time 27336305     
5      
Average_Insertion_Run-time 27254445     
18000      
1      
Average_Insertion_Run-time 30800409  18000 324000000 30709731.6 
2      
Average_Insertion_Run-time 30525608     
3      
Average_Insertion_Run-time 30611896     
4      
Average_Insertion_Run-time 30852539     
5      
Average_Insertion_Run-time 30758206     
19000      
1      
Average_Insertion_Run-time 33971239  19000 361000000 35326535 
2      
Average_Insertion_Run-time 33637549     
3      
Average_Insertion_Run-time 34009702     
4      
Average_Insertion_Run-time 36070537     
5      
Average_Insertion_Run-time 38943648     
20000      
1      
Average_Insertion_Run-time 37521407  20000 400000000 37881148.2 
2      
Average_Insertion_Run-time 38629380     
3      
Average_Insertion_Run-time 37666988     
4      
Average_Insertion_Run-time 37665410     
5      
Average_Insertion_Run-time 37922556     
1000      
1      
Best_Insertion_Run-time 1846   1000 1744.6 
2      
Best_Insertion_Run-time 1796     
3      
Best_Insertion_Run-time 1696     
4      
Best_Insertion_Run-time 1709     
5      
Best_Insertion_Run-time 1676     
2000      
1      
Best_Insertion_Run-time 3219   2000 3262 
2      
Best_Insertion_Run-time 3427     
3      
Best_Insertion_Run-time 3259     
4      
Best_Insertion_Run-time 3214     
5      
Best_Insertion_Run-time 3191     
3000      
1      
Best_Insertion_Run-time 4712   3000 388827.6 
2      
Best_Insertion_Run-time 4675     
3      
Best_Insertion_Run-time 4683     
4      
Best_Insertion_Run-time 4701     
5      
Best_Insertion_Run-time 1925367     
4000      
1      
Best_Insertion_Run-time 6334   4000 6306.4 
2      
Best_Insertion_Run-time 6371     
3      
Best_Insertion_Run-time 6279     
4      
Best_Insertion_Run-time 6318     
5      
Best_Insertion_Run-time 6230     
5000      
1      
Best_Insertion_Run-time 7756   5000 7753.2 
2      
Best_Insertion_Run-time 7764     
3      
Best_Insertion_Run-time 7728     
4      
Best_Insertion_Run-time 7767     
5      
Best_Insertion_Run-time 7751     
6000      
1      
Best_Insertion_Run-time 9188   6000 9203 
2      
Best_Insertion_Run-time 9200     
3      
Best_Insertion_Run-time 9207     
4      
Best_Insertion_Run-time 9205     
5      
Best_Insertion_Run-time 9215     
7000      
1      
Best_Insertion_Run-time 10788   7000 10766.6 
2      
Best_Insertion_Run-time 10754     
3      
Best_Insertion_Run-time 10755     
4      
Best_Insertion_Run-time 10734     
5      
Best_Insertion_Run-time 10802     
8000      
1      
Best_Insertion_Run-time 12231   8000 12244.6 
2      
Best_Insertion_Run-time 12279     
3      
Best_Insertion_Run-time 12250     
4      
Best_Insertion_Run-time 12233     
5      
Best_Insertion_Run-time 12230     
9000      
1      
Best_Insertion_Run-time 13915   9000 13808 
2      
Best_Insertion_Run-time 13765     
3      
Best_Insertion_Run-time 13790     
4      
Best_Insertion_Run-time 13759     
5      
Best_Insertion_Run-time 13811     
10000      
1      
Best_Insertion_Run-time 15255   10000 15286.8 
2      
Best_Insertion_Run-time 15305     
3      
Best_Insertion_Run-time 15287     
4      
Best_Insertion_Run-time 15313     
5      
Best_Insertion_Run-time 15274     
11000      
1      
Best_Insertion_Run-time 16829   11000 16846 
2      
Best_Insertion_Run-time 16868     
3      
Best_Insertion_Run-time 16833     
4      
Best_Insertion_Run-time 16838     
5      
Best_Insertion_Run-time 16862     
12000      
1      
Best_Insertion_Run-time 18350   12000 18353.8 
2      
Best_Insertion_Run-time 18382     
3      
Best_Insertion_Run-time 18373     
4      
Best_Insertion_Run-time 18346     
5      
Best_Insertion_Run-time 18318     
13000      
1      
Best_Insertion_Run-time 19882   13000 19824 
2      
Best_Insertion_Run-time 19782     
3      
Best_Insertion_Run-time 19834     
4      
Best_Insertion_Run-time 19806     
5      
Best_Insertion_Run-time 19816     
14000      
1      
Best_Insertion_Run-time 21324   14000 21311.2 
2      
Best_Insertion_Run-time 21312     
3      
Best_Insertion_Run-time 21312     
4      
Best_Insertion_Run-time 21302     
5      
Best_Insertion_Run-time 21306     
15000      
1      
Best_Insertion_Run-time 22792   15000 22811 
2      
Best_Insertion_Run-time 22822     
3      
Best_Insertion_Run-time 22827     
4      
Best_Insertion_Run-time 22808     
5      
